cName,lecname,link,count
Intelligent_Systems,Intelligent Agents,https://www.wikidata.org/wiki/Q197536,2
Intelligent_Systems,Intelligent Systems Introduction,https://www.wikidata.org/wiki/Q197536,2
Intelligent_Systems,Machine Learning for Intelligent Systems,https://www.wikidata.org/wiki/Q197536,2
Number of triples: 3
