tName,link,lecname,lecture,content
RDF,https://www.wikidata.org/wiki/Q1751819,Lab Session #03,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_03,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#03.txt
RDF,https://www.wikidata.org/wiki/Q1751819,Lab Session #02,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_02,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#02.txt
RDF,https://www.wikidata.org/wiki/Q1751819,Knowledge Graphs,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Graphs,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Graphs.txt
kmeans,https://www.wikidata.org/wiki/Q310401,Lab Session #06,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_06,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#06.txt
UIMA,https://www.wikidata.org/wiki/Q1539155,Intelligent Systems Introduction,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Systems_Introduction,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Systems%20Introduction.txt
Noun,https://www.wikidata.org/wiki/Q4782696,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
Noun,https://www.wikidata.org/wiki/Q4782696,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
Quebec,https://www.wikidata.org/wiki/Q176,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
Quebec,https://www.wikidata.org/wiki/Q176,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
Quebec,https://www.wikidata.org/wiki/Q176,Lab Session #03,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_03,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#03.txt
Call_of_Duty,https://www.wikidata.org/wiki/Q211096,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
Call_of_Duty,https://www.wikidata.org/wiki/Q211096,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
Text_Mining,https://www.wikidata.org/wiki/Q676880,Intelligent Systems Introduction,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Systems_Introduction,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Systems%20Introduction.txt
Pandas,https://www.wikidata.org/wiki/Q33602,Lab Session #05,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_05,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#05.txt
Antietam,https://www.wikidata.org/wiki/Q719252,Intelligent Systems Introduction,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Systems_Introduction,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Systems%20Introduction.txt
Schema.org,https://www.wikidata.org/wiki/Q3475322,Knowledge Graphs - Vocabularies and Ontologies,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Graphs_-_Vocabularies_and_Ontologies,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Graphs%20-%20Vocabularies%20and%20Ontologies.txt
Alexa,https://www.wikidata.org/wiki/Q230051,Lab Session #04,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_04,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#04.txt
Alexa,https://www.wikidata.org/wiki/Q230051,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
